"group","species_name","data_quality","exposure_factor","score","type"
"Salmon","Sockeye salmon",2,"ZP",1,"anomaly"
"Salmon","Sockeye salmon",2,"SO2",3.3,"anomaly"
"Salmon","Sockeye salmon",2,"AT",3.69,"anomaly"
"Salmon","Sockeye salmon",2,"PR",2,"anomaly"
"Salmon","Sockeye salmon",2,"MHW",3.37,"anomaly"
"Flatfish","Southern rock sole",3,"BT",1.59,"anomaly"
"Flatfish","Southern rock sole",3,"BS",1.4,"anomaly"
"Flatfish","Southern rock sole",3,"BpH",4,"anomaly"
"Flatfish","Southern rock sole",3,"PhT",1,"anomaly"
"Flatfish","Southern rock sole",3,"ZP",1,"anomaly"
"Flatfish","Southern rock sole",3,"BO2",2.34,"anomaly"
"Flatfish","Southern rock sole",3,"MHW",2.67,"anomaly"
"Crustacean","Spot shrimp",2,"BT",1.5,"anomaly"
"Crustacean","Spot shrimp",2,"BS",1.46,"anomaly"
"Crustacean","Spot shrimp",2,"BpH",3.99,"anomaly"
"Crustacean","Spot shrimp",2,"PhT",1,"anomaly"
"Crustacean","Spot shrimp",2,"ZP",1,"anomaly"
"Crustacean","Spot shrimp",2,"BO2",1.84,"anomaly"
"Crustacean","Spot shrimp",2,"MHW",3.15,"anomaly"
"Flatfish","Starry flounder",3,"BT",1.5,"anomaly"
"Flatfish","Starry flounder",3,"BS",1.56,"anomaly"
"Flatfish","Starry flounder",3,"BpH",4,"anomaly"
"Flatfish","Starry flounder",3,"PhT",1,"anomaly"
"Flatfish","Starry flounder",3,"ZP",1,"anomaly"
"Flatfish","Starry flounder",3,"BO2",2.12,"anomaly"
"Flatfish","Starry flounder",3,"AT",2.37,"anomaly"
"Flatfish","Starry flounder",3,"MHW",2.36,"anomaly"
"Salmon","Steelhead",1,"SST",1.02,"anomaly"
"Salmon","Steelhead",1,"SS",1.71,"anomaly"
"Salmon","Steelhead",1,"SpH",4,"anomaly"
"Salmon","Steelhead",1,"PhT",1,"anomaly"
"Salmon","Steelhead",1,"ZP",1,"anomaly"
"Salmon","Steelhead",1,"SO2",3.06,"anomaly"
"Salmon","Steelhead",1,"AT",2.75,"anomaly"
"Salmon","Steelhead",1,"PR",1.95,"anomaly"
"Salmon","Steelhead",1,"MHW",2.95,"anomaly"
"Crustacean","Tanner crab",2,"BT",1.5,"anomaly"
"Crustacean","Tanner crab",2,"BS",1.6,"anomaly"
"Crustacean","Tanner crab",2,"BpH",4,"anomaly"
"Crustacean","Tanner crab",2,"PhT",1,"anomaly"
"Crustacean","Tanner crab",2,"ZP",1,"anomaly"
"Crustacean","Tanner crab",2,"BO2",2.08,"anomaly"
"Crustacean","Tanner crab",2,"MHW",2.39,"anomaly"
"Groundfish","Walleye pollock",3,"BT",1.64,"anomaly"
"Groundfish","Walleye pollock",3,"BS",1.45,"anomaly"
"Groundfish","Walleye pollock",3,"BpH",4,"anomaly"
"Groundfish","Walleye pollock",3,"PhT",1,"anomaly"
"Groundfish","Walleye pollock",3,"ZP",1,"anomaly"
"Groundfish","Walleye pollock",3,"BO2",2.21,"anomaly"
"Groundfish","Walleye pollock",3,"MHW",2.71,"anomaly"
"Mollusc","Weathervane scallop",3,"BT",1.59,"anomaly"
"Mollusc","Weathervane scallop",3,"BS",1.38,"anomaly"
"Mollusc","Weathervane scallop",3,"BpH",4,"anomaly"
"Mollusc","Weathervane scallop",3,"PhT",1,"anomaly"
"Mollusc","Weathervane scallop",3,"ZP",1,"anomaly"
"Mollusc","Weathervane scallop",3,"BO2",2.45,"anomaly"
"Mollusc","Weathervane scallop",3,"AT",2.43,"anomaly"
"Mollusc","Weathervane scallop",3,"MHW",2.71,"anomaly"
"Rockfish","Yelloweye rockfish",3,"BT",1.35,"anomaly"
"Rockfish","Yelloweye rockfish",3,"BS",1.4,"anomaly"
"Rockfish","Yelloweye rockfish",3,"BpH",3.99,"anomaly"
"Rockfish","Yelloweye rockfish",3,"PhT",1,"anomaly"
"Rockfish","Yelloweye rockfish",3,"ZP",1,"anomaly"
"Rockfish","Yelloweye rockfish",3,"BO2",1.83,"anomaly"
"Rockfish","Yelloweye rockfish",3,"MHW",3.45,"anomaly"
"Flatfish","Yellowfin sole",3,"BT",1.55,"anomaly"
"Flatfish","Yellowfin sole",3,"BS",1.61,"anomaly"
"Flatfish","Yellowfin sole",3,"BpH",4,"anomaly"
"Flatfish","Yellowfin sole",3,"PhT",1,"anomaly"
"Flatfish","Yellowfin sole",3,"ZP",1,"anomaly"
"Flatfish","Yellowfin sole",3,"BO2",2.53,"anomaly"
"Flatfish","Yellowfin sole",3,"MHW",2.49,"anomaly"
"Flatfish","Alaska plaice",3,"BT",2,"variability"
"Flatfish","Alaska plaice",3,"BS",2,"variability"
"Flatfish","Alaska plaice",3,"BpH",4,"variability"
"Flatfish","Alaska plaice",3,"PhT",2.33,"variability"
"Flatfish","Alaska plaice",3,"ZP",2,"variability"
"Flatfish","Alaska plaice",3,"BO2",1.85,"variability"
"Elasmobranch","Alaska skate",3,"BT",2,"variability"
"Elasmobranch","Alaska skate",3,"BS",1.93,"variability"
"Elasmobranch","Alaska skate",3,"BpH",4,"variability"
"Elasmobranch","Alaska skate",3,"PhT",2.2,"variability"
"Elasmobranch","Alaska skate",3,"ZP",2,"variability"
"Elasmobranch","Alaska skate",3,"BO2",1.73,"variability"
